id,title_id,name,character,role
32485,17249,Jebidiah R. Dumas,Gigantic Dude,ACTOR
32486,17249,Priscilla Lauris,Dean's Secretary,ACTOR
32487,17249,Rick Eby,Omega,ACTOR
32488,17249,John Freeman,Man On Street,ACTOR
32489,17249,Sean McCartin,Lucky Boy,ACTOR
32490,17249,Helen Vick,Sorority Girl,ACTOR
32491,17249,Rick Greenough,Mongol,ACTOR
32495,17249,Stephen Bishop,Charming Guy with Guitar,ACTOR
10843,17249,John Landis,Cafeteria Dishwasher,ACTOR
10843,17249,John Landis,,DIRECTOR
11472,22164,Graham Chapman,Various,ACTOR
11476,22164,Michael Palin,"Various / ""It's"" man",ACTOR
11475,22164,Terry Jones,Various,ACTOR
11474,22164,Eric Idle,Various,ACTOR
11473,22164,Terry Gilliam,Various,ACTOR
11472,70993,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
1549,70993,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
11473,70993,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
11474,70993,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
11475,70993,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
11476,70993,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
11477,70993,Terence Bayler,Gregory,ACTOR
11478,70993,Carol Cleveland,Mrs. Gregory,ACTOR
11479,70993,Kenneth Colley,Jesus,ACTOR
11482,70993,Neil Innes,A Weedy Samaritan,ACTOR
11480,70993,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
11481,70993,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR
11483,70993,Gwen Taylor,Mrs. Big Nose,ACTOR
11484,70993,Sue Jones-Davies,Judith Iscariot,ACTOR
548006,70993,Peter Brett,,ACTOR
11485,70993,John Case,Pilate's Wife,ACTOR
11489,70993,Chris Langham,Alfonso / Giggling Guard,ACTOR
11487,70993,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR
11486,70993,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
73106,70993,Spike Milligan,Spike,ACTOR
11488,70993,George Harrison,Mr. Papadopolous (uncredited),ACTOR
11475,70993,Terry Jones,,DIRECTOR
25056,16479,Bing Crosby,Bob Wallace,ACTOR
60326,16479,Danny Kaye,Phil Davis,ACTOR
74992,16479,Rosemary Clooney,Betty Haynes,ACTOR
74993,16479,Vera-Ellen,Judy Haynes,ACTOR
41874,16479,Dean Jagger,General Waverly,ACTOR
27535,16479,Mary Wickes,Emma Allen,ACTOR
74994,16479,John Brascia,John,ACTOR
74995,16479,Anne Whitfield,Susan Waverly,ACTOR
74996,16479,Bea Allen,Dancer (uncredited),ACTOR
36157,16479,Frank Baker,Anniversary Party Guest (uncredited),ACTOR
74997,16479,Glen Cargyle,Jeep Driver (uncredited),ACTOR
25098,16479,George Chakiris,Dancer (uncredited),ACTOR
100934,16479,Barrie Chase,Doris Lenz (uncredited),ACTOR
1023889,16479,Lorinne Crawford,Rita (uncredited),ACTOR
22477,16479,Franklyn Farnum,Club Patron (uncredited),ACTOR
14166,16479,Bess Flowers,Club Patron (uncredited),ACTOR
36504,16479,Gavin Gordon,General Carlton (uncredited),ACTOR
422099,16479,Johnny Grant,Ed Harrison (uncredited),ACTOR
57838,16479,Percy Helton,Train Conductor (uncredited),ACTOR
88997,16479,I. Stanford Jolley,Station Master (uncredited),ACTOR
45687,16479,Sig Ruman,Landlord (uncredited),ACTOR
132394,16479,Grady Sutton,Mr. Herring (uncredited),ACTOR
71905,16479,Herb Vigran,Novello (uncredited),ACTOR
498631,16479,Robert Crosson,Albert (uncredited),ACTOR
14797,16479,Michael Curtiz,,DIRECTOR
8465,91699,Henry Winkler,Jack Dunne,ACTOR
7645,91699,Sally Field,Carol Bell,ACTOR
1225,91699,Harrison Ford,Ken Boyd,ACTOR
29227,91699,Val Avery,Mel,ACTOR
92748,91699,Olivia Cole,Jane Adcox,ACTOR
436658,91699,Hector Elias,Dr. Elias,ACTOR
55899,91699,Dennis Burkley,Gus,ACTOR
7762,91699,Tony Burton,Chef,ACTOR
15318,91699,Michael Cavanaugh,Peanuts,ACTOR
519768,91699,Helen Craig,Bus Depot Manager,ACTOR
43722,91699,John P. Finnegan,Mr. Munro,ACTOR
63707,91699,Betty McGuire,Mrs. Munro,ACTOR
26495,91699,John O'Leary,Ticket Clerk,ACTOR
64872,91699,Tom Rosqui,Patrolman #2,ACTOR
